City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Yulara,AU,-25.2406,130.9889,81.88,45,63,7.25,broken clouds
262,Saint-Pierre,RE,-21.3393,55.4781,82.08,64,0,8.05,clear sky
263,Sambava,MG,-14.2667,50.1667,79.23,70,66,5.32,light rain
264,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,88,95,14.07,overcast clouds
265,Quatre Cocos,MU,-20.2078,57.7625,82.09,66,11,8.93,few clouds
266,Eluru,IN,16.7,81.1,87.89,64,20,2.62,few clouds
267,Srednebelaya,RU,50.6594,128.0106,14.38,93,100,21.45,snow
268,Saryozek,KZ,44.3583,77.9753,41.0,65,99,4.45,overcast clouds
269,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,60,0,4.47,clear sky
270,Neropolis,BR,-16.4064,-49.2186,67.33,90,74,1.57,light rain
271,Nieuw Amsterdam,SR,5.8833,-55.0833,76.01,93,53,6.67,broken clouds
272,Ixtapa,MX,20.7,-105.2,74.23,88,1,13.8,clear sky
273,Marawi,PH,7.9986,124.2928,76.64,67,100,5.32,overcast clouds
274,Klaksvik,FO,62.2266,-6.589,47.32,80,100,31.29,overcast clouds
275,Savinka,RU,50.0785,47.0994,33.19,78,100,3.22,overcast clouds
276,Iquitos,PE,-3.7481,-73.2472,77.04,94,75,0.0,broken clouds
277,Talara,PE,-4.5772,-81.2719,65.53,83,75,9.15,broken clouds
278,Rio Gallegos,AR,-51.6226,-69.2181,44.65,53,75,2.3,broken clouds
279,Alihe,CN,50.5667,123.7167,16.18,54,100,12.15,overcast clouds
280,Mareeba,AU,-17.0,145.4333,89.44,62,22,11.18,few clouds
281,North Bend,US,43.4065,-124.2243,51.71,90,90,0.0,overcast clouds
282,Muros,ES,42.7762,-9.0603,53.1,75,67,18.3,broken clouds
283,Half Moon Bay,US,37.4636,-122.4286,60.62,74,1,0.0,clear sky
284,Viedma,AR,-40.8135,-62.9967,49.21,68,8,8.14,clear sky
285,Chuy,UY,-33.6971,-53.4616,62.56,68,7,16.26,clear sky
286,Tessalit,ML,20.1986,1.0114,71.58,34,93,6.91,overcast clouds
287,Lompoc,US,34.6391,-120.4579,71.13,51,1,4.61,clear sky
288,Tazovskiy,RU,67.4667,78.7,14.58,94,100,14.79,overcast clouds
289,Samaipata,BO,-18.15,-63.8667,55.24,94,100,2.26,overcast clouds
290,Dauphin,CA,51.1494,-100.0502,21.58,86,97,6.71,overcast clouds
291,Kununurra,AU,-15.7667,128.7333,103.98,29,40,8.05,light rain
292,Namatanai,PG,-3.6667,152.4333,82.42,76,96,9.15,light rain
